variante,canonico,codigo,classe,origem,confianca_mapeamento,risco_palavra_comum,ocorrencias,status,confianca,arquivo,evidencia
alimentos,Alimentação por Perfume dos Humanos (Demos se Alimentam de DNA),RC-820,variacao,etimologia,referencia_oral,nao,2,verificado,média,RC-820-alimentacao-por-perfume-dos-humanos.md,"- **Grafia preferida:** Alimentação por Perfume dos Humanos (Demos se Alimentam de DNA) - **Variações STT capturadas:** ""perfume"", ""sequências genéticas"", ""elementos sutis"", ""alime"
alma,Mônada,RC-149,variacao,etimologia,conceitual,nao,2,verificado,alta,RC-149-monada-monada-espiritual.md,- **Grafia preferida:** Mônada - **Variações:** mônada espiritual; alma; espírito; consciência espiritual particularizada; protoconsciência particularizada - **Origem:** do grego *
Criador,Javé,RC-001,variacao,etimologia,conceitual,nao,2,verificado,alta,RC-001-jave.md,- **Grafia preferida:** Javé - **Variações:** Senhor Javé; Jeová; Yahweh; YHWH; Deus Bíblico; Brahma (no sistema RC); Criador - **Idioma de origem:** Hebraico (tetragrama YHWH)
Saibá,Saibaba como Precursor de Jesus,RC-801,variacao,etimologia,referencia_oral,nao,2,em análise,baixa,RC-801-saibaba-como-precursor-de-jesus.md,"- **Grafia preferida:** Saibaba como Precursor de Jesus - **Variações STT capturadas:** ""Caibá"", ""Caibá"", ""Saibaba"", ""Saibá"", ""saibá"", ""prima sai"" (STT fonética) - **Linhagem encar"
Sofia,Sophia,RC-009,variacao,etimologia,conceitual,nao,2,verificado,alta,RC-009-sophia-cristo-cosmico.md,"- **Grafia preferida:** Sophia - **Variações:** Cristo Cósmico; Suserano Cósmico; ""Jesus em seu corpo glorioso""; Sofia; **Hochmah** (epíteto hebraico = Sabedoria, ver RC-565; grafi"
Val Ellam,Val El / Val Ellam,RC-120,variacao,etimologia,referencia_oral,nao,2,provisório,média,RC-120-val-el.md,- Grafia preferida: Val El / Val Ellam - Variações: Val El; Val Ellam - Família: Val (RC-109) · Autor: Jan Val Ellam (RC-071)
Lúcifer,Yel Luzbel Como Aventureiro Isolado (2.000 Anos),RC-830,corruptela,prosa,referencia_oral,nao,1,verificado,média,RC-830-yel-luzbel-como-aventureiro-isolado.md," - **Variações STT capturadas:** ""Yel Luzbel"", ""Yel Luzbel"", ""Yusbel"" (pode ser corruptela de ""Lúcifer""?) - **Idioma de origem:** Heb"
arcos,Archeons de Ereon,RC-596,stt,etimologia,alta,nao,1,verificado,média,RC-596-archeons-de-ereon.md,"STT: arquelos, arquieron, arcãos, arcos."
Buda,Budismo como Exceção (Sem Deus),RC-803,stt,etimologia,referencia_oral,nao,1,verificado,média,RC-803-budismo-como-excecao.md,"- **Grafia preferida:** Budismo como Exceção (Sem Deus) - **Variações STT capturadas:** ""budismo"", ""Buda"", ""Gautama"", ""Grande Galan"" (= Buda Gautama) - **Idioma de origem:** Sânscr"
chiva,Shiva (Savna),RC-102,stt,prosa,baixa,nao,1,verificado,alta,RC-102-shiva-savna.md,"manda é chiva, cheia de locas de chive da sua descendência.» — Shiva (STT ""chiva/chive"") comanda uma parte do universo vizinho,"
Chiva,Shiva como Primeiro Demo,RC-810,stt,etimologia,alta,nao,1,verificado,média,RC-810-shiva-como-primeiro-demo.md,"- **Grafia preferida:** Shiva como Primeiro Demo - **Variações STT capturadas:** ""Chiva"", ""Chimo"", ""Chiv"", ""Shiva"", ""Chiva o primeiro demo"" - **Idioma de origem:** Sânscrito (शिव """
chiva,"Fórmulas Mentais (o código dos demos, contraposto ao DNA humano)",RC-870,stt,prosa,referencia_oral,nao,1,em análise,baixa,RC-870-formulas-mentais-o-codigo-dos-demos-contraposto-ao-dna-humano.md,"las mentais numa linhagem humana para enfrentar os avatares de Shiva (STT ""chiva"") — grafias STT sem emenda. ### P2021-0"
Domina,Apolônio de Tiana,RC-259,stt,prosa,baixa,sim,1,verificado,alta,RC-259-apolonio-de-tiana-encarnacao-do-quarto-logos.md,"""quando SEPTÍMIO SEVERO [STT 'Severo Máximo'], ESPOSO DE JÚLIA DOMNA [STT 'Domina'], se tornou imperador, JÚLIA DOMNA, QUE"
especiação,Especiação a partir do DNA Humano,RC-778,stt,etimologia,referencia_oral,nao,1,verificado,média,RC-778-especiacao-a-partir-do-dna-humano.md,"- **Grafia preferida:** Especiação a partir do DNA Humano - **Variações STT capturadas:** ""especiação"", ""especiação do DNA"", ""especiação humana cósmica"" (sinônimos contextuais) - *"
fogo,Fogo que se Apaga (Fogo de Prometeu Hoje),RC-792,stt,etimologia,referencia_oral,nao,1,verificado,média,RC-792-fogo-que-se-apaga.md,"- **Grafia preferida:** Fogo que se Apaga (Fogo de Prometeu Hoje) - **Variações STT capturadas:** ""fogo"", ""fogo que não se observa mais"", ""fogo que se apagou"", ""acender o fogo"" - *"
infantilizadas,Versão Oficial como Construção dos Seguidores,RC-804,stt,etimologia,referencia_oral,nao,1,verificado,média,RC-804-versao-oficial-como-construcao-dos-seguidores.md,"- **Grafia preferida:** Versão Oficial como Construção dos Seguidores - **Variações STT capturadas:** ""versão oficial"", ""crenças baratas, infantilizadas, pouco refletidas"" - **Idio"
morre,Morlens,RC-772,stt,prosa,baixa,nao,1,verificado,média,RC-772-morlens-programador-genetico-atomico-do-projeto-talm.md,"oblema e nos diga: E foi criado aquele ser chamado morre.» — Morlens (STT 'morre/morrensor', RC-772): o ser criado sem lacre de con"
Nick,Nyx,RC-621,stt,etimologia,alta,nao,1,verificado,média,RC-621-nyx.md,STT: NX; Nick.
Reis,Eros = Vishnu / Tártaro = Shiva (correspondências),RC-286,stt,prosa,referencia_oral,sim,1,em análise,baixa,RC-286-tartaro-eros-vishnu-tartaro-shiva.md,"do neste termo — dinâmicas de aprisionamento mental. Conteúdo: Hades (STT ""Ades/Reides/Reid/Reis"") = arconte dono do Tártaro, um dos irmã"
Reis,Soca/Reis/Rit como Receptor Universal,RC-821,stt,etimologia,alta,sim,1,verificado,média,RC-821-soca-receptor-universal-trimurti.md,"- **Grafia preferida:** Soca/Reis/Rit como Receptor Universal - **Variações STT capturadas:** ""Socar"", ""Soca"", ""Reis"", ""Reid"", ""Rit"", ""Reit"" - **Idioma de origem:** Português (com "
chiva,Shiva,RC-102,stt_contextual,parentetico,alta,nao,1,verificado,alta,RC-102-shiva-savna.md," locas de chive da sua descendência.» — Shiva (STT ""chiva/chive"") comanda uma parte "
morre,Morlens,RC-772,stt_contextual,parentetico,alta,nao,1,verificado,média,RC-772-morlens-programador-genetico-atomico-do-projeto-talm.md,"foi criado aquele ser chamado morre.» — Morlens (STT 'morre/morrensor', RC-772): o ser cri"
Reis,Hades,RC-286,stt_contextual,parentetico,alta,sim,1,em análise,baixa,RC-286-tartaro-eros-vishnu-tartaro-shiva.md,"cas de aprisionamento mental. Conteúdo: Hades (STT ""Ades/Reides/Reid/Reis"") = arconte dono do "
anda,Anda (Hiranyagarbha,RC-037,stt_mapeado,prosa,alta,nao,1,verificado,alta,RC-037-brahma-brajna.md,"surgiram um dia surgiu um ovo chamado anda em sânscrito.» — STT «anda» = Anda (Hiranyagarbha, o ovo dourado); o "
antes da queda,Brahma,RC-037,variacao,etimologia,conceitual,nao,1,verificado,alta,RC-037-brahma-brajna.md,"- **Grafia preferida:** Brahma - **Variações:** Brajna (condição Adhyatman, antes da queda); identificado a Javé, Caos, Pan Ku, Alá, Atom"
Assessores,Hostes de Sophia,RC-453,variacao,etimologia,conceitual,nao,1,verificado,alta,RC-453-hostes-de-sophia.md,"- **Grafia preferida:** Hostes de Sophia - **Variações:** ""as suas Hostes"" (B057/B058); ""Hostes de Comando"" (B058, p. 67); ""Hostes bélicas"" (B058, p. 74); ""Assessores""/""Administrad"
Buda,Budismo como Exceção (Sem Deus),RC-803,variacao,etimologia,referencia_oral,nao,1,verificado,média,RC-803-budismo-como-excecao.md,"- **Grafia preferida:** Budismo como Exceção (Sem Deus) - **Variações STT capturadas:** ""budismo"", ""Buda"", ""Gautama"", ""Grande Galan"" (= Buda Gautama) - **Idioma de origem:** Sânscr"
curta,Gestão Psíquica e Memórias Complexas,RC-554,variacao,etimologia,referencia_oral,nao,1,verificado,alta,RC-554-gestao-psiquica-e-memorias-complexas.md,"- **Grafia preferida:** Gestão Psíquica e Memórias Complexas - **Variações:** ""Gestão Psíquica"" (capa/curta); expressões afins: ""limpeza das memórias"", ""gestão da 'bagagem espiritu"
Deus Bíblico,Javé,RC-001,variacao,etimologia,conceitual,nao,1,verificado,alta,RC-001-jave.md,- **Grafia preferida:** Javé - **Variações:** Senhor Javé; Jeová; Yahweh; YHWH; Deus Bíblico; Brahma (no sistema RC); Criador - **Idioma de origem:** Hebraico (tetragrama YHWH)
Deus Bíblico,Criador,RC-041,variacao,etimologia,conceitual,nao,1,verificado,alta,RC-041-criador-brahma-jave-demiurgo.md,"- **Grafia preferida:** Criador - **Variações:** Brahma; Javé; Deus Bíblico; Demiurgo (Platão); ""Criador caído"""
hindus,Castas Trimurtianas,RC-321,variacao,etimologia,conceitual,nao,1,verificado,alta,RC-321-castas-trimurtianas.md,- **Grafia preferida:** Castas Trimurtianas - **Variações:** sistema de castas; castas arianas/hindus; varna (sânscrito); brâmanes/xátrias/vaixás/sudras
infantilizadas,Versão Oficial como Construção dos Seguidores,RC-804,variacao,etimologia,referencia_oral,nao,1,verificado,média,RC-804-versao-oficial-como-construcao-dos-seguidores.md,"- **Grafia preferida:** Versão Oficial como Construção dos Seguidores - **Variações STT capturadas:** ""versão oficial"", ""crenças baratas, infantilizadas, pouco refletidas"" - **Idio"
Jeová,Javé,RC-001,variacao,etimologia,conceitual,nao,1,verificado,alta,RC-001-jave.md,- **Grafia preferida:** Javé - **Variações:** Senhor Javé; Jeová; Yahweh; YHWH; Deus Bíblico; Brahma (no sistema RC); Criador - **Idioma de origem:** Hebraico (tetragrama YHWH)
nosso universo,Universo Material,RC-107,variacao,etimologia,conceitual,nao,1,verificado,alta,RC-107-universo-material-bhuloka.md,- **Grafia preferida:** Universo Material - **Variações:** Bhuloka (sânscrito); nosso universo; universo biológico
"o ""Jogo",Xadrez Cósmico,RC-150,variacao,etimologia,conceitual,nao,1,verificado,alta,RC-150-xadrez-cosmico.md,"- **Grafia preferida:** Xadrez Cósmico - **Variações:** o ""Jogo""; o jogo de samsara (no cap. 15, referência ao renascimento)"
Reis,Soca/Reis/Rit como Receptor Universal,RC-821,variacao,etimologia,conceitual,sim,1,verificado,média,RC-821-soca-receptor-universal-trimurti.md,"- **Grafia preferida:** Soca/Reis/Rit como Receptor Universal - **Variações STT capturadas:** ""Socar"", ""Soca"", ""Reis"", ""Reid"", ""Rit"", ""Reit"" - **Idioma de origem:** Português (com "
Revelações Cósmicas,Revelação Cósmica,RC-094,variacao,etimologia,conceitual,nao,1,verificado,alta,RC-094-revelacao-cosmica-conceito.md,- **Grafia preferida:** Revelação Cósmica - **Variações:** Revelações Cósmicas; RC (sigla usada neste projeto)
Aya,"Aya (canônica, em RC-009 e B031)",RC-834,corruptela,prosa,referencia_oral,nao,0,verificado,alta,RC-834-familia-aya.md,"vado como falado) — ver nota]: a grafia ""Aia"" (que apareceu na P2023-12-17) é **corruptela STT** de ""Aya"" — a grafia canônica em **RC-0"
Aye,"Aye (canônica, em RC-009 e B031)",RC-835,corruptela,prosa,referencia_oral,nao,0,verificado,alta,RC-835-familia-aye.md,"vado como falado) — ver nota]: a grafia ""Aie"" (que apareceu na P2023-12-17) é **corruptela STT** de ""Aye"" — a grafia canônica em **RC-0"
Gautama,Budismo como Exceção (Sem Deus),RC-803,corruptela,prosa,referencia_oral,nao,0,verificado,média,RC-803-budismo-como-excecao.md," figuras como Buda, bodhisattvas, etc.). - O ""Grande Galan"" provavelmente é STT corruptela de ""Gautama, o Grande"" — verificar. - [REVISAR → CHA"
Mahatma,Mahatma Magant como Libertador da Alimentação Demoníaca,RC-822,corruptela,prosa,referencia_oral,nao,0,em análise,baixa,RC-822-mahatma-magant-libertador.md," Magant está à frente desse processo na espiritualidade."" **""Magant""** pode ser corruptela de ""Mahatma"" (o ""Grande Alma"" em sânscrito"
veemente,Vechame Existencial (Sangue de Barata = Amor sem Submissão),RC-823,corruptela,prosa,referencia_oral,nao,0,verificado,média,RC-823-vechame-existencial.md," - **Idioma de origem:** Português (com termo autoral ""vechame"" — provavelmente corruptela de ""veemente"" ou termo próprio) ## Fontes "
Aia,Aya,RC-834,nunca,quarentena,alta,nao,0,verificado,média,RC-826-rebeliao-dos-eletrons.md,"- **Aya** (RC-834) e **Aye** (RC-835) — NUNCA ""Aia/Aie"" (STT corruptela)"
Aie,Aye,RC-835,nunca,quarentena,alta,nao,0,verificado,média,RC-826-rebeliao-dos-eletrons.md,"- **Aya** (RC-834) e **Aye** (RC-835) — NUNCA ""Aia/Aie"" (STT corruptela)"
Luzbel,Yel Luzbel,RC-078,nunca,quarentena,alta,nao,0,verificado,média,RC-826-rebeliao-dos-eletrons.md,"- **Yel Luzbel** (RC-078/RC-142) — NUNCA ""Luzbel"" sozinho, NUNCA ""Yosbel"" (STT corruptela)"
Yosbel,Yel Luzbel,RC-078,nunca,quarentena,alta,nao,0,verificado,média,RC-826-rebeliao-dos-eletrons.md,"- **Yel Luzbel** (RC-078/RC-142) — NUNCA ""Luzbel"" sozinho, NUNCA ""Yosbel"" (STT corruptela)"
Rochman,Sophia,RC-009,oral,prosa,media,nao,0,verificado,alta,RC-009-sophia-cristo-cosmico.md," (epíteto hebraico = Sabedoria, ver RC-565; grafia oral da palestra P2024-02-25 registrada como ""Rockman/Rochman"" por erro de STT, confirmada pelo curador como"
Rockman,Sophia,RC-009,oral,prosa,media,nao,0,verificado,alta,RC-009-sophia-cristo-cosmico.md," (epíteto hebraico = Sabedoria, ver RC-565; grafia oral da palestra P2024-02-25 registrada como ""Rockman/Rochman"" por erro de STT, confirmada pelo curador como"
10firá,Sefirot / Árvore da Vida,RC-263,stt,prosa,referencia_oral,nao,0,verificado,alta,RC-263-sefirot-arvore-da-vida.md,"e é brah o primeiro, biná que é shoka, que é visno.» — as 10 Sefirot (STT ""10firá""): nove personificações existem aqui; Ho"
13 livros,13 Livros de Lúcifer com Humanos (Necessários Antes do Fim),RC-833,stt,etimologia,referencia_oral,nao,0,em análise,baixa,RC-833-13-livros-de-lucifer-com-humanos.md,"- **Grafia preferida:** 13 Livros de Lúcifer com Humanos (Necessários Antes do Fim) - **Variações STT capturadas:** ""13 livros"", ""9 livros"", ""Lúcifer com humanos"", ""rebelião de Lúc"
2023 (RC-414,s são do bruto,RC-425,stt,etimologia,alta,nao,0,verificado,alta,RC-425-krishna-como-pretenso-keshava.md,"STT do pronome com o nome («porque era um avatar quechava»); na fonte de 02/12/2023 (RC-414), «quechada». [REVISAR: as duas grafias são do bruto; **não** se unificam nem se corrige"
2026 em Observações,Lilith como Rakshasa (Espécie Não-Humana),RC-794,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-794-lilith-como-rakshasa.md,STT — ver Resolução 10/09/2026 em Observações
3 levas,Especiação Humana — Levas Genéticas,RC-783,stt,etimologia,referencia_oral,nao,0,verificado,média,RC-783-especiacao-humana-levas-geneticas.md,"- **Grafia preferida:** Especiação Humana — Levas Genéticas - **Variações STT capturadas:** ""levas genéticas"", ""1, 2, 3 levas"", ""padrão genético humano"" - **Idioma de origem:** Por"
9 livros,13 Livros de Lúcifer com Humanos (Necessários Antes do Fim),RC-833,stt,etimologia,referencia_oral,nao,0,em análise,baixa,RC-833-13-livros-de-lucifer-com-humanos.md,"- **Grafia preferida:** 13 Livros de Lúcifer com Humanos (Necessários Antes do Fim) - **Variações STT capturadas:** ""13 livros"", ""9 livros"", ""Lúcifer com humanos"", ""rebelião de Lúc"
a Aen,Awayen (consagrada por RC-771/ART-2025-08-01),RC-836,stt,prosa,baixa,nao,0,verificado,média,RC-836-forno-de-awayen-forno-de-brahma-central-de-realidades.md," (RC-102), **Projeto Talm** (RC-091), **Val Tam** (RC-132). Grau oral STT ""aen/a Aen/Hawaien"" registrado como embrionário — **não ren"
A gar,Agar como 2ª Tentativa Fracassada de Fêmea para Adão,RC-817,stt,etimologia,referencia_oral,nao,0,verificado,alta,RC-817-agar-como-segunda-tentativa.md,"- **Grafia preferida:** Agar como 2ª Tentativa Fracassada de Fêmea para Adão - **Variações STT capturadas:** ""Agar"", ""A gar"", ""Agar a segunda"" - **Idioma de origem:** Hebraico (הָג"
