variante,canonico_proposto,superficie_casada,codigo_base,classe,ocorrencias,fonetica,textual,confianca,origem,contexto,status_aprovacao,adjudicacao,motivo_adjudicacao,ocorrencias_no_revisado
elétron e,Elétrons,eletrons,RC-162,artigo,1,0.88,0.78,alta,varredura-automatica,quantidade de elétrons é a mesma não é criado nunca um novo elétron e nenhum dos elétrons que foi criado morre o que é que se mod,informativa,informativa,Candidato de varredura cuja forma no texto já está correta: nenhuma substituição a aplicar. Registrada para auditoria (classe artigo/flexão/variante de superfície já canônica).,1
bilhões de estrelas,Filhos das Estrelas,filhos das estrelas,RC-222,variante,1,0.88,0.79,alta,varredura-automatica,00 bilhões de galáxias cada galáxia com 100 200 300 400 500 bilhões de estrelas cada estrela com vários planetas e cada planeta com alguns ,proposta,recusada,"Falso positivo por janela: o bruto conta '3.000, 5.000 bilhões de estrelas' — aritmética, não RC-222 Filhos das Estrelas.",1
princípio da externalização nós,Princípio da Externalização,principio da externalizacao,RC-768,artigo,1,0.88,0.87,alta,varredura-automatica, existindo mas pra gente entender isso é preciso entender o princípio da externalização nós biológicos que surgimos depois disso essa parede aqui isso ,informativa,informativa,Candidato de varredura cuja forma no texto já está correta: nenhuma substituição a aplicar. Registrada para auditoria (classe artigo/flexão/variante de superfície já canônica).,1
colmeia,Colmeia Universal,calmeia,RC-174,variante,1,0.8,0.86,alta,varredura-automatica, é um buraquinho daquele isso aqui é um grande é uma grande colmeia que tem uma abelha rainha e o resto é abelha operária tem u,proposta,protecao,Forma já correta: 'colmeia' é a palavra da família do circuito colmeico (RC-174/176/953). Substituir por 'Colmeia Universal' destruiria a frase.,3
cósmico,Quarentena Sideral / Cósmica,cosmica,RC-342,variante,1,0.86,0.86,media,varredura-automatica,sse simultâneo E esses dois universos ficaram dentro do ovo cósmico hoje se esse universo aqui tem 200 bilhões de galáxias cada,proposta,recusada,"Adjetivo comum em 'ovo cósmico' (RC-034), não o termo RC-342.",1
dimensionais.,Val dos Corpos Perdidos / Dimensionados,dimensionados,RC-133,variante,1,0.83,0.85,media,varredura-automatica,"a transitavam livremente entre dimensões através de portais dimensionais. Com o eventual fechamento desses acessos, a humanidade perd",proposta,recusada,"Candidato gerado no CABEÇALHO (guia de fontes resumido do bruto diz 'portais dimensionais'), não no corpo. Fica como evidência do item 2 do parecer §9: rc_diagnostico mede o arquivo inteiro quando não há marcador de corpo.",0
Jan Val Ellam em,Jan Val Ellam,jan val ellam,RC-071,artigo,1,0.83,0.81,alta,varredura-automatica,================================== Vídeo publicado no canal Jan Val Ellam em 13/09/2026 ================================================,informativa,informativa,Candidato de varredura cuja forma no texto já está correta: nenhuma substituição a aplicar. Registrada para auditoria (classe artigo/flexão/variante de superfície já canônica).,0
uma abelha rainha,Abelha-Rainha,abelha rainha,RC-175,artigo,1,0.82,0.76,alta,varredura-automatica, daquele isso aqui é um grande é uma grande colmeia que tem uma abelha rainha e o resto é abelha operária tem um ser alfa o resto obedece,informativa,informativa,Candidato de varredura cuja forma no texto já está correta: nenhuma substituição a aplicar. Registrada para auditoria (classe artigo/flexão/variante de superfície já canônica).,1
de antimatéria,Antimundo / antimatéria,antimateria,RC-527,artigo,1,0.82,0.79,media,varredura-automatica,u seja os dois universos que se formaram um de matéria e um de antimatéria a ciência só não diz que tinha um criador que caiu em algum,informativa,informativa,Candidato de varredura cuja forma no texto já está correta: nenhuma substituição a aplicar. Registrada para auditoria (classe artigo/flexão/variante de superfície já canônica).,1
do loop mental,Loop Mental,loop mental,RC-924,artigo,1,0.82,0.79,alta,varredura-automatica,um só ser esse ser ele externalizou um loop mental e dentro do loop mental ele criou isso aqui esse aqui está acabando os dois vão se ,informativa,informativa,Candidato de varredura cuja forma no texto já está correta: nenhuma substituição a aplicar. Registrada para auditoria (classe artigo/flexão/variante de superfície já canônica).,1
criador caiu,Tikun Cósmico,criador cuba,RC-514,variante,1,0.8,0.75,alta,varredura-automatica, tipo de vida aqui foi especificado no plano e aqui o eu do criador caiu aqui com toda a sua massa mental e com isso tudo a força do,proposta,recusada,"Falso positivo: casa em 'o eu do criador caiu aqui' (superfície 'criador cuba'). É narrativa, não o termo RC-514 Tikun Cósmico.",1
YouTube,YouTube,YouTube,EXTERNO,semente-guia,2,1.0,1.0,alta,conhecimento geral do revisor,,aprovada,protecao,"Entidade da camada 3 (Externos), protegida: nenhuma substituição. A ocorrência está no cabeçalho do bruto (URL), não no corpo.",0
chamanismo,Xamanismo Cósmico,chamanismo,RC-577,semente-guia,1,1.0,1.0,alta,kb-rc:RC-577-xamanismo-cosmico-comunicacao-e-deslacre.md:stt,,aprovada,aceita-parcial,"Grafia corrigida para 'xamanismo' na revisão (forma correta da língua). O termo RC-577 Xamanismo Cósmico NÃO se aplica: o autor fala do xamanismo genérico como mecanismo histórico, não do conceito das Revelações.",0
