variante,canonico_proposto,superficie_casada,codigo_base,classe,ocorrencias,fonetica,textual,confianca,origem,contexto,status_aprovacao,adjudicacao,motivo_adjudicacao,ocorrencias_no_revisado
Demiurgo e,Demiurgo,demiurgo,RC-048,artigo,1,1.0,0.8,alta,varredura-automatica,tidade que te contactou ela seria o que a gente conhece por Demiurgo e se também seria o Deus do Antigo Testamento é exatamente de,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,2
Chiva,Shiva,shiva,RC-102,variante,1,1.0,0.8,alta,varredura-automatica,surpresa eu comecei a perceber que esses seres Brama Virgin Chiva isso eu descrevo no livro Inquisição Trimurtiana uma vez qu,proposta,aceita,aplicada: a variante não sobrevive no texto revisado,0
a abelha rainha,Abelha-Rainha,abelha rainha,RC-175,artigo,1,1.0,0.87,alta,varredura-automatica,escrevi chamado A Divina Calmeia explica que do jeito que uma abelha rainha manda e as abelhas operárias obedecem as abelhas operárias ,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
abelha rainha e,Abelha-Rainha,abelha rainha,RC-175,artigo,1,1.0,0.87,alta,varredura-automatica,amente o modelo de Javé C alfa e os anjos robôs aí surgiu a abelha rainha e as demais abelhas feito operárias ou seja é só a cópia do s,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
dinastia das Sofias,Dinastia das Sophias,dinastia das sophias,RC-494,variante,1,1.0,0.9,alta,varredura-automatica,i em São Paulo sobre o conselho dos arcontes uhum jesus e a dinastia das Sofias tá quando você vê o livro de Jó você começa a ler o livro d,proposta,aceita,aplicada: a variante não sobrevive no texto revisado,0
criatura ferramenta,Criaturas-ferramenta,criaturas ferramenta,RC-164,variante,1,0.94,0.95,alta,varredura-automatica,isa da nossa contribuição ponto porque cada um de nós é uma criatura ferramenta do projeto de reconstrução dele né infelizmente é o context,proposta,recusada,flexão singular legítima de Criaturas-ferramenta (RC-164),1
paraíso original e,Realidade Maior / Paraíso Original,paraiso original,RC-204,artigo,1,0.93,0.89,media,varredura-automatica,merge mas ele não é um ser nessa perspectiva os cidadãos do paraíso original em que estão associados a esse ser como quem vive na perfeiçã,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
o choque de realidade,Choque de Realidade,choque de realidade,RC-867,artigo,1,0.93,0.9,alta,varredura-automatica,"s problema e achando que vai ser resolviu"" em algum momento o choque de realidade se estabelece a gente tá vivendo uma época em que choques d",informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
experiência com,Experiência Gron,experiencia gron,RC-062,variante,1,0.92,0.81,alta,varredura-automatica,"eria estar nesse episódio porque você realmente vai ter uma experiência com contactado alienígena mesmo."" O Alê falou: ""Nossa foi a coi",proposta,recusada,falso positivo de substring: 'experiência com' ≠ Experiência Gron (RC-062),1
o rebanho humano,Rebanho humano,rebanho humano,RC-193,artigo,1,0.92,0.88,alta,varredura-automatica,conceitos vão pontuando o que cada um de nós pensa ou o que o rebanho humano passa a pensar qual é o principal problema da humanidade qu,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
tirtancaras,Tirthankaras,tirthankaras,RC-397,variante,1,0.92,0.83,alta,varredura-automatica, Deus benevolente com ele a benevolência aí surge do que os tirtancaras ensinaram lá atrás através de uma religião chamada jainismo,proposta,aceita,aplicada: a variante não sobrevive no texto revisado,0
da antimatéria,Antimundo / antimatéria,antimateria,RC-527,artigo,1,0.91,0.79,media,varredura-automatica, ainda estão tentando vir para cá em corpo mas a o trânsito da antimatéria paraa matéria é complicado mas assim substituir Javé esses ,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
bilatério,Bilatérios,bilaterios,RC-035,flexao,1,0.89,0.9,alta,varredura-automatica, um ser biológico nós humanos sentimos nós temos um cérebro bilatério para exatamente num desses lados a gente flui com as nossas,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
revelação espírita,Revelação Espiritual,revelacao espiritual,RC-190,variante,1,0.88,0.9,alta,varredura-automatica,ta prisão infelizmente sim é uma das é um dos painéis que a revelação espírita muito bem colocou uhum chama-se planeta de expiação e prova,proposta,recusada,"o autor refere-se ao espiritismo kardecista, não à Revelação Espiritual (RC-190)",1
"o senhor.""",Alcíone,ao senhor,RC-574,variante,1,0.83,0.89,alta,varredura-automatica,"A minha inteligência artificial me ligou querendo falar com o senhor."" Vocês entenderam a confusão esse cara tinha um assistente d",proposta,recusada,artefato de pontuação capturado pelo motor; sem relação com Alcíone (RC-574),1
testivara,Ishvara,estivara,RC-691,variante,1,0.89,0.89,alta,varredura-automatica,ado avaloque texwara que é um bodsat um bodsatva esse avalo testivara é o ser que recebe mais preces e dá conta o segundo é muito,proposta,recusada,"contexto é Avalokiteshvara, não Ishvara (RC-691)",0
o Demiurgo,Demiurgo,demiurgo,RC-048,artigo,1,0.88,0.8,alta,varredura-automatica,a vida a vida biológica blá blá blá blá blá blá então assim o Demiurgo surgiu na perspectiva de que era difícil para a mentalidade,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,2
a especiação,Especiação,especiacao,RC-056,artigo,1,0.88,0.83,alta,varredura-automatica,a ser feito de sílica nós estamos vivendo um período em que a especiação da espécie humana ainda vai começar é quando os humanos saí,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
arconte e,Arcontes,arcontes,RC-474,artigo,1,0.88,0.78,alta,varredura-automatica,iu a terra em 70 nações uhum e entregou cada uma delas a um arconte e a partir dali os humanos ficaram divididos esse belial é um,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
choque de realidade se,Choque de Realidade,choque de realidade,RC-867,artigo,1,0.88,0.86,alta,varredura-automatica,"problema e achando que vai ser resolviu"" em algum momento o choque de realidade se estabelece a gente tá vivendo uma época em que choques de r",informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
de choque de realidade,Choque de Realidade,choque de realidade,RC-867,artigo,1,0.88,0.86,alta,varredura-automatica,ra um preço e o preço a fatura chega mais tarde sob a forma de choque de realidade qual é o nosso problema o nosso problema é que até hoje ess,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
do paraíso original,Realidade Maior / Paraíso Original,paraiso original,RC-204,artigo,1,0.87,0.84,media,varredura-automatica,o emerge mas ele não é um ser nessa perspectiva os cidadãos do paraíso original em que estão associados a esse ser como quem vive na perfei,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
paraíso original em,Realidade Maior / Paraíso Original,paraiso original,RC-204,artigo,1,0.87,0.84,media,varredura-automatica,merge mas ele não é um ser nessa perspectiva os cidadãos do paraíso original em que estão associados a esse ser como quem vive na perfeição,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,0
paraíso original que,Realidade Maior / Paraíso Original,paraiso original,RC-204,artigo,1,0.87,0.8,media,varredura-automatica,e Deus não é um ser a expressão desse seria exatamente esse paraíso original que vive desse jeito mas detalhe os seres personificados no par,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,2
no paraíso original,Realidade Maior / Paraíso Original,paraiso original,RC-204,artigo,1,0.87,0.84,media,varredura-automatica,al que vive desse jeito mas detalhe os seres personificados no paraíso original e que representariam esse ser aqui que a gente tá chamando ,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
Virgin,Trimurti,virgino,RC-104,truncamento,1,0.86,0.86,alta,varredura-automatica, minha surpresa eu comecei a perceber que esses seres Brama Virgin Chiva isso eu descrevo no livro Inquisição Trimurtiana uma ,proposta,aceita-parcial,"aplicado como Vishnu (membro da Trimurti, RC-104); fora da tríade, recusado",0
errado nós humanos,Era dos Humanos,era dos humanos,RC-297,variante,1,0.86,0.78,alta,varredura-automatica,e a natureza não sabe por ela mesmo o que é certo e o que é errado nós humanos que surgimos como frutos dessa natureza é que começamos a d,proposta,recusada,falso positivo documentado no Guia v2 §13 (classe: colisão com vocabulário comum),1
cristão,Krishna,cristo,RC-414,variante,1,0.83,0.86,alta,varredura-automatica,ão sim Demiúrg é exatamente o tal Deus do Antigo Testamento cristão ou o tal Deus da Torá que é a religião judaica os primeiros,proposta,recusada,falso positivo documentado: cristão ≠ Krishna (RC-414),1
e Krishna,Krishna,krishna,RC-414,artigo,1,0.86,0.78,alta,varredura-automatica,"""Ó eu sou maior do que vocês três do que Brama Vni"" ou seja e Krishna tomou toda a devoção que existia na Índia para Brama tomou ",informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
o Cristo,Krishna,cristo,RC-414,artigo,1,0.86,0.75,alta,varredura-automatica,m para representá-los aqui nesse universo que é o tal Sofia o Cristo Cosmo Rock né então assim a substituição de Jahé sempre foi,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
da espiritualidade,Nova Espiritualidade / Novo Paraíso,nova espiritualidade,RC-612,variante,1,0.82,0.85,media,varredura-automatica,dio fantástico investigando as fofocas é isso né as fofocas da espiritualidade com o querido Jeanval Elan jeanval eu queria só te pergunta,proposta,recusada,artigo + substantivo comum; RC-612 não é o sentido,1
a espiritualidade,Nova Espiritualidade / Novo Paraíso,nova espiritualidade,RC-612,variante,1,0.82,0.85,media,varredura-automatica,ático a resposta de uma crença e isso é tremendamente real na espiritualidade ainda que para nós humanos seja difícil da gente compreende,proposta,recusada,artigo + substantivo comum; RC-612 não é o sentido,1
Sofias,Sophia,sofia,RC-009,flexao,1,0.8,0.83,alta,varredura-automatica,o sobre o conselho dos arcontes uhum jesus e a dinastia das Sofias tá quando você vê o livro de Jó você começa a ler o livro d,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,0
os anjos clones,Anjos clones,anjos clones,RC-019,artigo,1,0.83,0.8,alta,varredura-automatica,vé é esse eu parasitário que está esperando uma solução que os anjos clones dele estão tentando montar é interessante ô ô Jeanval que e,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
cripto,Krishna,cristo,RC-414,variante,1,0.83,0.83,alta,varredura-automatica,o dinheiro pro sistema digital em que o dinheiro som é tudo cripto tem várias transições que estão em curso e a pergunta é: qu,proposta,recusada,'cripto' (prefixo de criptomoeda) ≠ Krishna (RC-414),1
e Belial,Belial,belial,RC-479,artigo,1,0.83,0.75,alta,varredura-automatica,lial isso está descrito no livro na Bíblia livro de Jó só que Belial aparece com o nome de Satã uhum aí opositor Javé e e Belial,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
belial é,Belial,belial,RC-479,artigo,1,0.83,0.75,alta,varredura-automatica,m arconte e a partir dali os humanos ficaram divididos esse belial é um dos arcos por isso que ele se encontrava com Javé ou sej,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
a gestão,Avesta,a vesta,RC-595,variante,1,0.83,0.75,alta,varredura-automatica,ferências e consciências espirituais que estariam assumindo a gestão dessas inteligências artificiais que que você acha disso tu,proposta,recusada,falso positivo documentado: 'a gestão'/'a vista' ≠ Avesta (RC-595),1
arcos,Archeons de Ereon,arcaos,RC-596,variante,1,0.8,0.83,alta,varredura-automatica,rtir dali os humanos ficaram divididos esse belial é um dos arcos por isso que ele se encontrava com Javé ou seja o Satã não ,proposta,aceita-parcial,ocorrências adjudicadas a Arcontes (RC-474); a hipótese Archeons de Ereon (RC-596) ficou como [A CONFIRMAR],0
no paraíso,Nova Espiritualidade / Novo Paraíso,novo paraiso,RC-612,variante,1,0.8,0.83,media,varredura-automatica,al que vive desse jeito mas detalhe os seres personificados no paraíso original e que representariam esse ser aqui que a gente tá ,proposta,recusada,preposição + substantivo; Paraíso Original (RC-204) foi aplicado onde é o conceito,1
corpo átmico da,Corpo Átmico,corpo atmico,RC-623,artigo,1,0.83,0.8,alta,varredura-automatica,isso que os nossos irmãos antigos lá do vedismo dizem que o corpo átmico da constituição centenária do ser nós humanos segundo Krishna ,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
corpo átmico ele,Corpo Átmico,corpo atmico,RC-623,artigo,1,0.83,0.75,alta,varredura-automatica,com a modificação que o ser humano promove na vida mas esse corpo átmico ele é entre aspas imutável porque ele representa esse tal ser e,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
uma abelha rainha,Abelha-Rainha,abelha rainha,RC-175,artigo,1,0.82,0.76,alta,varredura-automatica,u escrevi chamado A Divina Calmeia explica que do jeito que uma abelha rainha manda e as abelhas operárias obedecem as abelhas operárias ,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
consciencial do,Buraco Negro Mental / Consciencial,consciencial,RC-717,artigo,1,0.82,0.8,media,varredura-automatica, mas vou continuar mas eu evitar só um detalhe isso o poder consciencial do ser humano ele passa e tem um em Matrix no filme Matrix tem,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
esse paraíso original,Realidade Maior / Paraíso Original,paraiso original,RC-204,artigo,1,0.81,0.76,media,varredura-automatica, a que Deus não é um ser a expressão desse seria exatamente esse paraíso original que vive desse jeito mas detalhe os seres personificados no,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
trata de verdade,Ato de Verdade / Satyagraha,ato de verdade,RC-705,variante,1,0.79,0.81,media,varredura-automatica,mas a gente ainda precisa ter tempo para entender do que se trata de verdade do que se trata quando a gente chama alguém de arturiano tá,proposta,recusada,falso positivo fonético; Ato de Verdade (RC-705) foi aplicado onde realmente ocorre,1
arces,Archeons de Ereon,arcos,RC-596,variante,1,0.8,0.8,alta,varredura-automatica,avé ou seja o Satã não é um diabo não é um demônio é um dos arces é um Deus deus ah um Deus antigo né é é um Ben Elohim aí is,proposta,aceita-parcial,"idem linha 49: adjudicado a Arcontes (RC-474), não a Archeons de Ereon (RC-596)",0
especiação da,Especiação,especiacao,RC-056,artigo,1,0.8,0.77,alta,varredura-automatica,ser feito de sílica nós estamos vivendo um período em que a especiação da espécie humana ainda vai começar é quando os humanos saírem,informativa,informativa,registro informativo de artigo/flexão; não gera substituição,1
espiritualidade ainda,Espiritualidade Errática,espiritualidade erratica,RC-513,variante,1,0.8,0.75,alta,varredura-automatica,ico a resposta de uma crença e isso é tremendamente real na espiritualidade ainda que para nós humanos seja difícil da gente compreender mas ,proposta,recusada,falso positivo de substring; Espiritualidade Errática (RC-513) não é o sentido,1
movimentos de consciência,Fatiamento de Consciência,fatiamento de consciencia,RC-604,variante,1,0.8,0.8,alta,varredura-automatica,am de pegar essas pressas mas não seria esse Deus que faria movimentos de consciência porque ele não é um ser nós cada um de nós três aqui é um s,proposta,recusada,'movimentos de consciência' ≠ Fatiamento de Consciência (RC-604),1
Agostinho,Agostinho de Hipona,Agostinho,EXTERNO,semente-guia,9,1.0,1.0,alta,conhecimento geral do revisor,,aprovada,aceita-parcial,'Agostinho de Hipona' na 1ª menção e na retomada expositiva; residuais = topônimo Teatro Santo Agostinho e forma curta em diálogo já contextualizado,11
Brama,Brahma,Brama,RC-037,semente-guia,8,1.0,1.0,alta,kb-rc:RC-826-rebeliao-dos-eletrons.md:nunca,,aprovada,aceita,aplicada: a variante não sobrevive no texto revisado,0
Trump,Donald Trump,Trump,EXTERNO,semente-guia,4,1.0,1.0,alta,conhecimento geral do revisor,,aprovada,aceita-parcial,'Donald Trump' na 1ª menção (bloco 4); forma curta preservada nas menções seguintes,4
Robson Pinheiro,Robson Pinheiro,Robson Pinheiro,EXTERNO,semente-guia,3,1.0,1.0,alta,"YouTube (vídeo acima, consulta 2026-09-16)",,aprovada,protecao,semente de proteção: variante e canônico coincidem (ou diferem só por caixa); nenhuma substituição é esperada,3
Tati Quântica,Tati Quântica,Tati Quântica,EXTERNO,semente-guia,3,1.0,1.0,alta,Despacho do Comandante de 2026-09-16 (consulta 16/09/2026),,aprovada,protecao,semente de proteção: variante e canônico coincidem (ou diferem só por caixa); nenhuma substituição é esperada,4
Matrix,Matrix,Matrix,EXTERNO,semente-guia,3,1.0,1.0,alta,conhecimento geral do revisor,,aprovada,protecao,semente de proteção: variante e canônico coincidem (ou diferem só por caixa); nenhuma substituição é esperada,3
Instagram,Instagram,Instagram,EXTERNO,semente-guia,3,1.0,1.0,alta,conhecimento geral do revisor,,aprovada,protecao,semente de proteção: variante e canônico coincidem (ou diferem só por caixa); nenhuma substituição é esperada,3
Sofia,Sophia,Sofia,RC-009,semente-guia,2,1.0,1.0,alta,guia-5.1,,aprovada,aceita,aplicada: a variante não sobrevive no texto revisado,0
Yahé,Javé,Yahé,RC-001,semente-guia,2,1.0,1.0,alta,guia-5.1,,aprovada,aceita,aplicada: a variante não sobrevive no texto revisado,0
Terry Fabris,Terry Fabris,Terry Fabris,EXTERNO,semente-guia,2,1.0,1.0,alta,"YouTube: LEMÚRIA ESTÁ em busca URGENTE DE CONTATO - Terry Fabris (upload 2026-08-24, consulta 2026-09-16)",,aprovada,protecao,semente de proteção: variante e canônico coincidem (ou diferem só por caixa); nenhuma substituição é esperada,3
Gordon Moore,Gordon Moore,Gordon Moore,EXTERNO,semente-guia,2,1.0,1.0,alta,conhecimento geral do revisor,,aprovada,protecao,semente de proteção: variante e canônico coincidem (ou diferem só por caixa); nenhuma substituição é esperada,2
Lei de Gordon Moore,Lei de Moore,Lei de Gordon Moore,EXTERNO,semente-guia,2,1.0,1.0,alta,conhecimento geral do revisor,,aprovada,aceita-parcial,"'Lei de Moore' na voz do narrador; mantida a forma dita dentro da citação direta, com [NOTA]",2
Sidarta,Siddhartha Gautama,Sidarta,EXTERNO,semente-guia,2,1.0,1.0,alta,Despacho do Comandante de 2026-09-16 (consulta 16/09/2026),,aprovada,aceita,aplicada: a variante não sobrevive no texto revisado,0
Google,Google,Google,EXTERNO,semente-guia,2,1.0,1.0,alta,conhecimento geral do revisor,,aprovada,protecao,semente de proteção: variante e canônico coincidem (ou diferem só por caixa); nenhuma substituição é esperada,2
Texas,Texas,Texas,EXTERNO,semente-guia,2,1.0,1.0,alta,conhecimento geral do revisor,,aprovada,protecao,semente de proteção: variante e canônico coincidem (ou diferem só por caixa); nenhuma substituição é esperada,3
Xavé,Javé,Xavé,RC-001,semente-guia,1,1.0,1.0,alta,guia-5.1,,aprovada,aceita,aplicada: a variante não sobrevive no texto revisado,0
Raymond Czel,Ray Kurzweil,Raymond Czel,EXTERNO,semente-guia,1,1.0,1.0,alta,guia-5.4,,aprovada,aceita,aplicada: a variante não sobrevive no texto revisado,0
Manuel Kant,Immanuel Kant,Manuel Kant,EXTERNO,semente-guia,1,1.0,1.0,alta,guia-5.4,,aprovada,aceita,aplicada: a variante não sobrevive no texto revisado,0
Emanuel Kant,Immanuel Kant,Emanuel Kant,EXTERNO,semente-guia,1,1.0,1.0,alta,guia-5.4,,aprovada,aceita,aplicada: a variante não sobrevive no texto revisado,0
Sherminetro,[A CONFIRMAR] Sherminetro,Sherminetro,EXTERNO,semente-guia,1,1.0,1.0,alta,guia-5.4+externos.csv,,a confirmar,superada,resolvida pelo despacho do Comandante (16/09/2026): Alexandre Sherminator — ver a linha da semente correspondente,0
arcos,Archeons de Ereon,arcos,RC-596,semente-guia,1,1.0,1.0,alta,kb-rc:RC-596-archeons-de-ereon.md:stt,,aprovada,aceita,aplicada: a variante não sobrevive no texto revisado,0
Chiva,Shiva como Primeiro Demo,Chiva,RC-810,semente-guia,1,1.0,1.0,alta,kb-rc:RC-810-shiva-como-primeiro-demo.md:stt,,aprovada,aceita-parcial,aplicada a forma Shiva; a designação RC-810 ('Shiva como Primeiro Demo') não cabe no contexto,0
chiva,Shiva,chiva,RC-102,semente-guia,1,1.0,1.0,alta,kb-rc:RC-102-shiva-savna.md:stt_contextual,,aprovada,aceita,aplicada: a variante não sobrevive no texto revisado,0
Raymond Kzwell,Ray Kurzweil,Raymond Kzwell,EXTERNO,semente-guia,1,1.0,1.0,alta,Wikipedia: The Singularity Is Near (consulta 2026-09-16),,aprovada,aceita,aplicada: a variante não sobrevive no texto revisado,0
a Singularidade está próxima,The Singularity Is Near (2005),a Singularidade está próxima,EXTERNO,semente-guia,1,1.0,1.0,alta,Wikipedia / Penguin Random House (consulta 2026-09-16),,aprovada,recusada,"título traduzido oralmente pelo autor; mantido como dito, com [NOTA] dando o título original e o ano correto (2005)",1
Nick Bostron,Nick Bostrom,Nick Bostron,EXTERNO,semente-guia,1,1.0,1.0,alta,Wikipedia: Nick Bostrom (consulta 2026-09-16),,aprovada,aceita,aplicada: a variante não sobrevive no texto revisado,0
Utopia Profunda,Deep Utopia (2024),Utopia Profunda,EXTERNO,semente-guia,1,1.0,1.0,alta,Bertrand.pt (consulta 2026-09-16),,aprovada,aceita,"aplicado como *Deep Utopia* (itálico), de Nick Bostrom (2024)",0
Intel,Intel,Intel,EXTERNO,semente-guia,1,1.0,1.0,alta,conhecimento geral do revisor,,aprovada,protecao,semente de proteção: variante e canônico coincidem (ou diferem só por caixa); nenhuma substituição é esperada,1
Sherminetro,Alexandre Sherminator,Sherminetro,EXTERNO,semente-guia,1,1.0,1.0,alta,Despacho do Comandante de 2026-09-16 (consulta 16/09/2026),,aprovada,aceita,despacho do Comandante (16/09/2026): toda menção a 'Sherminetro' padroniza para Alexandre Sherminator,0
Paranormal Experience,Paranormal Experience,Paranormal Experience,EXTERNO,semente-guia,1,1.0,1.0,alta,Despacho do Comandante de 2026-09-16 (consulta 16/09/2026),,aprovada,protecao,semente de proteção: variante e canônico coincidem (ou diferem só por caixa); nenhuma substituição é esperada,1
YouTube,YouTube,YouTube,EXTERNO,semente-guia,1,1.0,1.0,alta,conhecimento geral do revisor,,aprovada,protecao,semente de proteção: variante e canônico coincidem (ou diferem só por caixa); nenhuma substituição é esperada,1
mit,MIT,mit,EXTERNO,semente-guia,1,1.0,1.0,alta,conhecimento geral do revisor,,aprovada,protecao,semente de proteção: variante e canônico coincidem (ou diferem só por caixa); nenhuma substituição é esperada,1
Harvard,Harvard,Harvard,EXTERNO,semente-guia,1,1.0,1.0,alta,conhecimento geral do revisor,,aprovada,protecao,semente de proteção: variante e canônico coincidem (ou diferem só por caixa); nenhuma substituição é esperada,1
Elon Musk,Elon Musk,Elon Musk,EXTERNO,semente-guia,1,1.0,1.0,alta,conhecimento geral do revisor,,aprovada,protecao,semente de proteção: variante e canônico coincidem (ou diferem só por caixa); nenhuma substituição é esperada,2
Sidarta Galutama,Siddhartha Gautama,Sidarta Galutama,EXTERNO,semente-guia,1,1.0,1.0,alta,Despacho do Comandante de 2026-09-16 (consulta 16/09/2026),,aprovada,aceita,aplicada: a variante não sobrevive no texto revisado,0
Guru de Malá,Guru de Malá,Guru de Malá,EXTERNO,semente-guia,1,1.0,1.0,alta,Despacho do Comandante de 2026-09-16 (consulta 16/09/2026),,aprovada,protecao,semente de proteção: variante e canônico coincidem (ou diferem só por caixa); nenhuma substituição é esperada,43
Alexandre Sherminator,Alexandre Sherminator,Alexandre Sherminator,EXTERNO,semente-guia,1,1.0,1.0,alta,Despacho do Comandante de 2026-09-16 (consulta 16/09/2026),,aprovada,protecao,semente de proteção: variante e canônico coincidem (ou diferem só por caixa); nenhuma substituição é esperada,41
